,0
0,7796092743
1,7849039732
2,7822033919
3,7848888356
4,7741914347
5,7433383273
6,7844960529
7,6386383746
8,7754698089
9,7614124603
10,7848963783
11,7849312077
12,7849247767
13,7766581188
14,7403496447
15,7229872888
16,7822353472
17,7770130968
18,6621093659
19,7839307648
20,7792514020
21,7389545214
22,7848888295
23,7849118691
24,7785009341
25,5482925748
26,7849054539
27,7529200122
28,6122903245
29,7784859039
30,7776083180
31,7310962531
32,6001655716
33,6335199530
34,7826101607
35,7849019088
36,7845838413
37,6858543538
38,7812754127
39,7776072773
40,7735272976
41,7226667591
42,7844834408
43,7816139884
44,7798707423
45,7848738770
46,7776628469
47,1861290354
48,7775230594
49,7623845742
50,7849182613
51,6372703301
52,6617818262
53,7845425324
54,7808015958
55,7812837011
56,7809809264
57,7504600358
58,7741897542
59,7796373270
60,7741321658
61,7576439878
62,7697363650
63,7828311327
64,7848813171
65,7686144149
66,7645379065
67,7799121226
68,7849247599
69,7849108208
70,7848812944
71,7626991402
72,7848963513
73,7840295284
74,5556377266
75,7815464035
76,7849311786
77,7634262696
78,7520446914
79,7849118516
80,7848464984
81,7848887569
82,7463691672
83,6807251645
84,7812461487
85,5862224648
86,7754282276
87,7337981801
88,7792874245
89,7849118479
90,7809969036
91,7849054162
92,7603581772
93,7637558388
94,7278862926
95,7264968579
96,7823813826
97,7818756618
98,7849182269
99,5866558223
100,7846115471
101,7361389768
102,7848739049
103,7849311958
104,7833039599
105,7372319567
106,7849039622
107,7718466703
108,6912092561
109,7845834820
110,7740321200
111,7617313410
112,7849182820
113,7592448264
114,7848398518
115,7833919580
116,7849312077
117,5934258907
118,7562851304
119,7813909446
120,7634688145
121,7841751153
122,7770130968
123,7849039591
124,7794195869
125,6540541570
126,7187397745
127,7393810882
128,6210755840
129,7758580471
130,6394789919
131,7832890146
132,7546375818
133,5876575190
134,7849247657
135,7788049739
136,7554968644
137,7849039507
138,7849118622
139,7810389512
140,7774387558
141,7840501656
142,7791802188
143,7848327859
144,7731318075
145,7740173328
146,5950081207
147,7834589078
148,6044198903
149,7831674829
150,7849247532
151,7847721572
152,7824087488
153,7413527041
154,7655882448
155,7776020089
156,7772674374
157,7819487224
158,7848963580
159,7812837011
160,7849238164
161,7848813061
162,2322101447
163,7848888114
164,7639214575
165,5928185308
166,1849999842
167,7848888115
168,7848813170
169,7812824703
170,7673082544
171,7819452345
172,7781665143
173,7844991986
174,7848813152
175,7849039386
176,7513123008
177,7757392534
178,7849039416
179,7484788467
180,7448632253
181,7765368335
182,7845031114
183,7849054302
184,7441791168
185,7748362671
186,6079826668
187,7824432593
188,5143333792
189,7730701750
190,7771240927
191,7650551198
192,7835774554
193,7848812923
194,7834713270
195,7644775727
196,7848958123
197,7848647332
198,0
199,7801287684
200,6600956009
201,7835517553
202,7504743019
203,3190313780
204,7848963330
205,7795925571
206,7842231147
207,7783858211
208,5315832677
209,7846483145
210,7841893637
211,7357183777
212,7810350297
213,7446820469
214,7848963800
215,5379701551
216,7775429345
217,7814935368
218,7724015573
219,6644891217
220,7846737946
221,7424113212
222,7849311905
223,7739006706
224,7849182832
225,7848886673
226,7485764008
227,7618929054
228,7848813334
229,7656554880
230,7827356676
231,5973045626
232,7849118691
233,7849054556
234,7805889620
235,7849115051
236,5824821832
237,7463087649
238,7834759301
239,7810526661
240,7554968644
241,7742539118
242,7849247681
243,7848738798
244,7314885831
245,7848813344
246,7751805635
247,7364556629
248,7394779725
249,7783612946
250,7849054487
251,7778105540
252,7836894368
253,7849182553
254,7690528483
255,7849247603
256,1861290354
257,6177976663
258,7831938530
259,7645450403
260,7848963619
261,6617818262
262,7847525978
263,7848963598
264,7596258035
265,7811213055
266,7848813061
267,2322101447
268,7848888114
269,7639214575
270,7279076522
271,7755570364
272,7508484797
273,7849054281
274,7648044710
275,7778099903
276,7830493636
277,7848971133
278,7578429182
279,6532102283
280,7848888010
281,7849247589
282,7481041408
283,7381276362
284,7807993530
285,7566213869
286,7784485933
287,7800830539
288,7848738595
289,7849050373
290,7846679855
291,2299261767
292,7826755786
293,7783166670
294,7810037372
295,7663779417
296,7829897306
297,5018429758
298,6614365865
299,7840108914
300,7798644481
301,7377016295
302,7629275659
303,7801287684
304,7419911631
305,7849312012
306,7684248306
307,7848739032
308,7830963334
309,7430697958
310,7848996576
311,7585144767
312,7848888365
313,7845294598
314,7819674954
315,7841893637
316,7357183777
317,7848813479
318,7740210326
319,7848963800
320,7617313410
321,7849312037
322,7790987051
323,6378020168
