userid,fans,friends,sunshine_credit_level,school,location,gender,birthday,created_at,description,followers_num
7796092743,[],"['1776448504', '7718988532']",信用较低,,其他,m, ,2022-10-14 09:49:15,暂无简介,0
7849039732,[],['1776448504'],,,其他,m,2007-12-14 射手座,2023-06-28 21:06:17,暂无简介,0
7822033919,[],"['1890196401', '7842742758', '1807981144', '1400629167']",信用较低,,,m, ,2023-02-18 14:17:23,暂无简介,0
7848888356,[],"['1776448504', '6860899624', '5292956234']",,,,m, ,2023-06-28 21:05:23,暂无简介,0
7741914347,[],['1776448504'],信用一般,,,m, ,2022-02-14 22:10:42,暂无简介,0
7433383273,[],['1776448504'],信用一般,,其他,m, ,2020-04-09 11:24:46,暂无简介,0
7844960529,[],"['1776448504', '7705544078', '2675415601', '5667483577']",信用较低,,,m, ,2023-06-10 17:42:06,暂无简介,0
6386383746,[],"['1776448504', '6431387551', '5693482483', '2879470994']",信用一般,,,m, ,2017-10-20 22:32:50,狗哥粉丝,0
7754698089,[],['1776448504'],信用一般,,其他,m, ,2022-04-19 16:35:01,暂无简介,0
7614124603,[],"['1776448504', '1898596717', '3863169695', '1943214435', '1984605183', '1865051515', '1584970590', '5604103213']",信用较低,,其他,f, ,2021-05-23 12:22:38,暂无简介,0
7848963783,[],['1776448504'],,,浙江 金华,f,2006-03-25 白羊座,2023-06-28 21:04:14,暂无简介,0
7849312077,[],"['5254886684', '2313571274', '1449324550', '7523435237', '2732343405', '7646070627', '3307478560', '1217613745', '5830685386']",,,山东 临沂,f,2000-08-07 狮子座,2023-06-28 21:06:17,暂无简介,0
7849247767,[],['5353497804'],,,其他,m, ,2023-06-28 21:05:35,暂无简介,0
7766581188,[],"['1776448504', '7314839690', '5224627641', '7576494550', '6355968578', '1656971873']",信用较低,,其他,f, ,2022-06-11 08:32:31,暂无简介,0
7403496447,[],['1776448504'],信用一般,,,m, ,2020-03-02 04:10:11,暂无简介,0
7229872888,[],"['1776448504', '1195230310']",信用较低,,其他,m, ,2019-07-11 14:02:04,暂无简介,0
7822353472,[],['1776448504'],信用较低,,江苏,m,2004-01-31 水瓶座,2023-02-20 13:19:31,暂无简介,0
7770130968,[],['1776448504'],信用较低,,其他,m, ,2022-06-27 23:11:03,暂无简介,0
6621093659,[],['7449051408'],信用一般,,,m,2007-07-21 巨蟹座,2018-08-04 14:02:56,手里可以没有笔，但不能因此停止创作。,0
7839307648,[],['1776448504'],信用较低,,其他,f, ,2023-05-16 16:20:47,暂无简介,0
7792514020,[],"['1776448504', '2317739275']",信用较低,,其他,m, ,2022-09-25 15:02:55,暂无简介,0
7389545214,[],['5888671022'],信用较低,,其他,m, ,2020-02-10 18:24:40,暂无简介,0
7848888295,[],['6685357186'],,,,m, ,2023-06-28 21:03:07,暂无简介,0
7849118691,[],['6821148417'],,,,m, ,2023-06-28 21:02:07,暂无简介,0
7785009341,[],"['1776448504', '5657205391', '2160369720']",信用较低,,其他,m, ,2022-08-24 20:39:35,暂无简介,0
5482925748,['1054810461'],"['1776448504', '5821285419', '2269438254', '2521600165', '5071218708', '6522072146', '3083675070', '5498972025', '6090765723']",信用较好,,,m,,2015-01-17 10:30:03,暂无简介,0
7849054539,[],['1776448504'],,,其他,m, ,2023-06-28 21:02:44,暂无简介,0
7529200122,[],"['1776448504', '6880285576', '6242177840']",信用一般,,,f,1900-12-31 摩羯座,2020-11-29 17:24:34,暂无简介,0
6122903245,[],['1776448504'],信用较低,,海外 俄罗斯,f,2021-06-11 双子座,2017-02-03 22:53:05,暂无简介,0
7784859039,[],"['1776448504', '1562479250', '1680650691', '7628593778']",信用一般,,其他,m, ,2022-08-24 19:19:08,暂无简介,0
7776083180,[],"['1776448504', '6047318695', '3980752824', '2918073100', '6905338201']",信用较低,,其他,f, ,2022-07-26 14:45:12,暂无简介,0
7310962531,[],"['1195354434', '3723217352', '7153194519', '7415662723', '6620478522', '5630249797', '6036603584', '1851931437', '2138844415']",信用较低,,其他,f, ,2019-09-25 11:39:44,暂无简介,0
6001655716,[],"['3784401383', '2607381560', '6001736225', '7730830178', '1978420281', '7160299711', '2746296141', '6540424837', '1949112803']",信用较好,,,f,2005-04-21 金牛座,2016-08-13 12:55:07,爱谁谁,0
6335199530,[],"['1776448504', '7517155616', '5038510904', '5888310967', '6016555520', '1773283005']",信用一般,,其他,m, ,2017-08-02 15:03:41,暂无简介,0
7826101607,[],"['1776448504', '3074438005', '7339271458', '5627588073', '2947464977', '6169384302', '1660347381', '5943695222', '2737047161']",信用较低,,其他,m, ,2023-03-12 13:12:08,暂无简介,0
7849019088,[],"['7741602426', '3228634923', '1642351362']",,,北京,f,2002-06-28 巨蟹座,2023-06-28 01:34:37,暂无简介,0
7845838413,[],['2929571482'],信用较低,,,m, ,2023-06-15 00:38:52,暂无简介,0
6858543538,[],"['2870450862', '1192329893', '1638781994']",信用较低,,,m, ,2020-07-27 18:32:08,暂无简介,0
7812754127,[],['1776448504'],信用较低,,其他,f, ,2023-01-04 19:56:10,暂无简介,0
7776072773,[],"['1776448504', '7644134332', '6522946700', '7841508868', '5854755966', '6933884384', '2349144271', '5636694801']",信用较低,,其他,m,2003-05-24 双子座,2022-07-26 00:13:37,暂无简介,0
7735272976,"['7811892007', '7755178868']","['1776448504', '7790229740', '7813570124', '7787140337', '7726107978', '7399071567', '7691628216', '7532971626', '7458000931']",信用一般,,,f,2000-03-23 白羊座,2022-01-09 16:10:07,鞠婧祎 .蔡徐坤,0
7226667591,[],"['1776448504', '1922785500', '1780186301', '6190030326', '1739531410', '2527361854', '6336328454', '5878659096', '3714079753']",信用一般,,,f,2004-07-01 巨蟹座,2019-07-09 10:49:02,暂无简介,0
7844834408,[],['1776448504'],信用较低,,,m, ,2023-06-10 17:15:41,暂无简介,0
7816139884,[],['1776448504'],信用较低,,其他,m, ,2023-01-19 14:43:45,暂无简介,0
7798707423,[],['1590753120'],信用一般,,,m,1970-01-01 摩羯座,2022-10-30 11:21:09,暂无简介,0
7848738770,[],"['1776448504', '2612956947', '7846064253']",,,其他,m, ,2023-06-28 20:59:18,暂无简介,0
7776628469,[],"['1288739185', '1227368500']",信用一般,,,f, ,2022-07-26 11:23:37,暂无简介,0
1861290354,"['5459742715', '1772956512', '1868748565']","['1776448504', '7174394321', '1792951112', '3139763240', '1796258175', '1923726912', '1434004434', '5448480859', '1654162630']",信用较好,,浙江 绍兴,f,1996-07-04 巨蟹座,2010-10-24 14:26:48,......,0
